word_index	level	word	pinyin	pinyin_numbered	pinyin_cc-cedict	part_of_speech
88	1	见	jiàn	jian4	jian4	动
89	1	件	jiàn	jian4	jian4	量
90	1	饺子	jiǎozi	jiao3 zi5	jiao3 zi5	名
91	1	叫	jiào	jiao4	jiao4	动
91	4	叫	jiào	jiao4	jiao4	介
92	1	姐姐	jiějie	jie3 jie5	jie3 jie5	名
93	1	今年	jīnnián	jin1 nian2	jin1 nian2	名
94	1	今天	jīntiān	jin1 tian1	jin1 tian1	名
95	1	九	jiǔ	jiu3	jiu3	数
96	1	觉得	juéde	jue2 de5	jue2 de5	动
97	1	开	kāi	kai1	kai1	动
98	1	开车	kāichē	kai1 che1	kai1 che1	动
99	1	看	kàn	kan4	kan4	动
100	1	看病	kànbìng	kan4 bing4	kan4 bing4	动
101	1	看见	kànjiàn	kan4 jian4	kan4 jian4	动
102	1	可以	kěyǐ	ke3 yi3	ke3 yi3	动、形
103	1	课	kè	ke4	ke4	名
104	1	口	kǒu	kou3	kou3	名、量
105	1	块	kuài	kuai4	kuai4	量
106	1	来	lái	lai2	lai2	动
107	1	老师	lǎoshī	lao3 shi1	lao3 shi1	名
108	1	了	le	le5	le5	助
109	1	冷	lěng	leng3	leng3	形
110	1	里	lǐ	li3	li3	名
111	1	两1	liǎng	liang3	liang3	数
112	1	零	líng	ling2	ling2	数
113	1	六	liù	liu4	liu4	数
114	1	妈妈	māma	ma1 ma5	ma1 ma5	名
115	1	吗	ma	ma5	ma5	助
116	1	买	mǎi	mai3	mai3	动
117	1	卖	mài	mai4	mai4	动
118	1	忙	máng	mang2	mang2	形、动
119	1	猫	māo	mao1	mao1	名
120	1	没关系	méiguānxi	mei2 guan1 xi5	mei2 guan1 xi5	
121	1	没事	méishì	mei2 shi4	mei2 shi4	动
122	1	没有	méiyǒu	mei2 you3	mei2 you3	动、副
123	1	妹妹	mèimei	mei4 mei5	mei4 mei5	名
124	1	们	men	men5	men5	后缀
125	1	米饭	mǐfàn	mi3 fan4	mi3 fan4	名
126	1	面包	miànbāo	mian4 bao1	mian4 bao1	名
127	1	面条儿	miàntiáor	mian4 tiaor2	mian4 tiao2 r5	名
128	1	明年	míngnián	ming2 nian2	ming2 nian2	名
129	1	明天	míngtiān	ming2 tian1	ming2 tian1	名
130	1	名字	míngzi	ming2 zi5	ming2 zi5	名
131	1	哪	nǎ	na3	na3	代
132	1	哪个	nǎge	na3 ge5	na3 ge5	代
133	1	哪里	nǎlǐ	na3 li3	na3 li3	代
134	1	哪儿	nǎr	nar3	na3 r5	代
135	1	哪些	nǎxiē	na3 xie1	na3 xie1	代
136	1	那	nà	na4	na4	代
136	2	那	nà	na4	na4	连
137	1	那边	nàbiān	na4 bian1	na4 bian1	代
138	1	那个	nàge	na4 ge5	na4 ge5	代
139	1	那里	nàlǐ	na4 li3	na4 li3	代
140	1	那儿	nàr	nar4	na4 r5	代
141	1	那些	nàxiē	na4 xie1	na4 xie1	代
142	1	男	nán	nan2	nan2	形
143	1	男朋友	nánpéngyou	nan2 peng2 you5	nan2 peng2 you5	名
144	1	呢	ne	ne5	ne5	助
145	1	能	néng	neng2	neng2	动
146	1	你	nǐ	ni3	ni3	代
147	1	你好	nǐhǎo	ni3 hao3	ni3 hao3	
148	1	你们	nǐmen	ni3 men5	ni3 men5	代
149	1	年	nián	nian2	nian2	名、量
150	1	您	nín	nin2	nin2	代
151	1	牛奶	niúnǎi	niu2 nai3	niu2 nai3	名
152	1	女	nǚ	nü3	nü3	形
153	1	女儿	nǚ’ér	nü3 er2	nü3 er2	名
154	1	女朋友	nǚpéngyou	nü3 peng2 you5	nü3 peng2 you5	名
155	1	女士	nǚshì	nü3 shi4	nü3 shi4	名
156	1	朋友	péngyou	peng2 you5	peng2 you5	名
157	1	便宜	piányi	pian2 yi5	pian2 yi5	形
158	1	漂亮	piàoliang	piao4 liang5	piao4 liang5	形
159	1	苹果	píngguǒ	ping2 guo3	ping2 guo3	名
160	1	七	qī	qi1	qi1	数
161	1	起床	qǐchuáng	qi3 chuang2	qi3 chuang2	动
162	1	千	qiān	qian1	qian1	数
163	1	前	qián	qian2	qian2	名
164	1	钱	qián	qian2	qian2	名
165	1	请	qǐng	qing3	qing3	动
166	1	请问	qǐngwèn	qing3 wen4	qing3 wen4	动
167	1	去	qù	qu4	qu4	动
168	1	去年	qùnián	qu4 nian2	qu4 nian2	名
169	1	热	rè	re4	re4	形
170	1	人	rén	ren2	ren2	名
171	1	认识	rènshi	ren4 shi5	ren4 shi5	动
172	1	日	rì	ri4	ri4	量
172	4	日	rì	ri4	ri4	名
173	1	三	sān	san1	san1	数
174	1	商店	shāngdiàn	shang1 dian4	shang1 dian4	名
175	1	上	shàng	shang4	shang4	名、动
176	1	上班	shàngbān	shang4 ban1	shang4 ban1	动
177	1	上课	shàngkè	shang4 ke4	shang4 ke4	动
178	1	上午	shàngwǔ	shang4 wu3	shang4 wu3	名
179	1	上学	shàngxué	shang4 xue2	shang4 xue2	动
180	1	少	shǎo	shao3	shao3	形、动
181	1	谁	shéi/shuí	shei2/shui2	shei2/shui2	代
182	1	什么	shénme	shen2 me5	shen2 me5	代
183	1	生病	shēngbìng	sheng1 bing4	sheng1 bing4	动
184	1	十	shí	shi2	shi2	数
185	1	时候	shíhou	shi2 hou5	shi2 hou5	名
186	1	时间	shíjiān	shi2 jian1	shi2 jian1	名
187	1	事	shì	shi4	shi4	名
188	1	是	shì	shi4	shi4	动
189	1	手机	shǒujī	shou3 ji1	shou3 ji1	名
190	1	书	shū	shu1	shu1	名
191	1	书店	shūdiàn	shu1 dian4	shu1 dian4	名
192	1	水	shuǐ	shui3	shui3	名
193	1	水果	shuǐguǒ	shui3 guo3	shui3 guo3	名
194	1	睡	shuì	shui4	shui4	动
195	1	睡觉	shuìjiào	shui4 jiao4	shui4 jiao4	动
196	1	说	shuō	shuo1	shuo1	动
197	1	说话	shuōhuà	shuo1 hua4	shuo1 hua4	动
198	1	四	sì	si4	si4	数
199	1	岁	suì	sui4	sui4	量
200	1	他	tā	ta1	ta1	代
201	1	它	tā	ta1	ta1	代
202	1	她	tā	ta1	ta1	代
203	1	他们	tāmen	ta1 men5	ta1 men5	代
204	1	它们	tāmen	ta1 men5	ta1 men5	代
205	1	她们	tāmen	ta1 men5	ta1 men5	代
206	1	太	tài	tai4	tai4	副
207	1	天	tiān	tian1	tian1	名、量
208	1	天气	tiānqì	tian1 qi4	tian1 qi4	名
209	1	听	tīng	ting1	ting1	动
210	1	听见	tīngjiàn	ting1 jian4	ting1 jian4	动
211	1	同学	tóngxué	tong2 xue2	tong2 xue2	名
212	1	外	wài	wai4	wai4	名
213	1	外边	wàibian	wai4 bian5	wai4 bian5	名
214	1	玩	wán	wan2	wan2	动
215	1	晚	wǎn	wan3	wan3	形
216	1	晚饭	wǎnfàn	wan3 fan4	wan3 fan4	名
217	1	晚上	wǎnshang	wan3 shang5	wan3 shang5	名
218	1	喂1	wèi	wei4	wei4	叹
219	1	问	wèn	wen4	wen4	动
220	1	问题	wèntí	wen4 ti2	wen4 ti2	名
221	1	我	wǒ	wo3	wo3	代
222	1	我们	wǒmen	wo3 men5	wo3 men5	代
223	1	五	wǔ	wu3	wu3	数
224	1	午饭	wǔfàn	wu3 fan4	wu3 fan4	名
225	1	喜欢	xǐhuan	xi3 huan5	xi3 huan5	动
226	1	下	xià	xia4	xia4	名、动、量
227	1	下雨	xiàyǔ	xia4 yu3	xia4 yu3	
228	1	下班	xiàbān	xia4 ban1	xia4 ban1	动
229	1	下课	xiàkè	xia4 ke4	xia4 ke4	动
230	1	下午	xiàwǔ	xia4 wu3	xia4 wu3	名
231	1	先生	xiānsheng	xian1 sheng5	xian1 sheng5	名
232	1	现在	xiànzài	xian4 zai4	xian4 zai4	名
233	1	想	xiǎng	xiang3	xiang3	动
234	1	小	xiǎo	xiao3	xiao3	形、前缀
235	1	小朋友	xiǎopéngyǒu	xiao3 peng2 you3	xiao3 peng2 you3	名
236	1	小时	xiǎoshí	xiao3 shi2	xiao3 shi2	名
237	1	小学	xiǎoxué	xiao3 xue2	xiao3 xue2	名
238	1	小学生	xiǎoxuéshēng	xiao3 xue2 sheng1	xiao3 xue2 sheng1	名
239	1	些	xiē	xie1	xie1	量
240	1	写	xiě	xie3	xie3	动
241	1	谢谢	xièxie	xie4 xie5	xie4 xie5	动
242	1	新	xīn	xin1	xin1	形
243	1	星期	xīngqī	xing1 qi1	xing1 qi1	名
244	1	星期日	xīngqīrì	xing1 qi1 ri4	xing1 qi1 ri4	名
245	1	星期天	xīngqītiān	xing1 qi1 tian1	xing1 qi1 tian1	名
246	1	休息	xiūxi	xiu1 xi5	xiu1 xi5	动
247	1	学	xué	xue2	xue2	动
248	1	学生	xuéshēng	xue2 sheng1	xue2 sheng1	名
249	1	学习	xuéxí	xue2 xi2	xue2 xi2	动
250	1	学校	xuéxiào	xue2 xiao4	xue2 xiao4	名
251	1	雪	xuě	xue3	xue3	名
252	1	要	yào	yao4	yao4	动
253	1	也	yě	ye3	ye3	副
254	1	一	yī	yi1	yi1	数
255	1	衣服	yīfu	yi1 fu5	yi1 fu5	名
256	1	医生	yīshēng	yi1 sheng1	yi1 sheng1	名
257	1	医院	yīyuàn	yi1 yuan4	yi1 yuan4	名
258	1	一半	yíbàn	yi2 ban4	yi1 ban4	数
259	1	一下	yíxià	yi2 xia4	yi1 xia4	数量
259	4	一下	yíxià	yi2 xia4	yi1 xia4	副
260	1	椅子	yǐzi	yi3 zi5	yi3 zi5	名
261	1	一点儿	yìdiǎnr	yi4 dianr3	yi1 dian3 r5	数量
262	1	一些	yìxiē	yi4 xie1	yi1 xie1	数量
263	1	有	yǒu	you3	you3	动
264	1	有的	yǒude	you3 de5	you3 de5	代
265	1	有点儿	yǒudiǎnr	you3 dianr3	you3 dian3 r5	副
266	1	有些	yǒuxiē	you3 xie1	you3 xie1	代
266	3	有些	yǒuxiē	you3 xie1	you3 xie1	副
267	1	雨	yǔ	yu3	yu3	名
268	1	元	yuán	yuan2	yuan2	量
269	1	月	yuè	yue4	yue4	名
270	1	再	zài	zai4	zai4	副
271	1	在	zài	zai4	zai4	动、介、副
272	1	再见	zàijiàn	zai4 jian4	zai4 jian4	动
273	1	早	zǎo	zao3	zao3	形
274	1	早饭	zǎofàn	zao3 fan4	zao3 fan4	名
275	1	早上	zǎoshang	zao3 shang5	zao3 shang5	名
276	1	怎么	zěnme	zen3 me5	zen3 me5	代
277	1	怎么样	zěnmeyàng	zen3 me5 yang4	zen3 me5 yang4	代
278	1	找	zhǎo	zhao3	zhao3	动
279	1	这	zhè	zhe4	zhe4	代
280	1	这边	zhèbiān	zhe4 bian1	zhe4 bian1	代
281	1	这个	zhège	zhe4 ge5	zhe4 ge5	代
282	1	这里	zhèlǐ	zhe4 li3	zhe4 li3	代
283	1	这儿	zhèr	zher4	zhe4 r5	代
284	1	这些	zhèxiē	zhe4 xie1	zhe4 xie1	代
285	1	真	zhēn	zhen1	zhen1	副
285	4	真	zhēn	zhen1	zhen1	形
286	1	正在	zhèngzài	zheng4 zai4	zheng4 zai4	副
287	1	只	zhī	zhi1	zhi1	量
288	1	知道	zhīdào	zhi1 dao4	zhi1 dao4	动
289	1	中国	Zhōngguó	zhong1 guo2	zhong1 guo2	名
290	1	中文	Zhōngwén	zhong1 wen2	zhong1 wen2	名
291	1	中午	zhōngwǔ	zhong1 wu3	zhong1 wu3	名
292	1	中学	zhōngxué	zhong1 xue2	zhong1 xue2	名
293	1	中学生	zhōngxuéshēng	zhong1 xue2 sheng1	zhong1 xue2 sheng1	名
294	1	住	zhù	zhu4	zhu4	动
295	1	桌子	zhuōzi	zhuo1 zi5	zhuo1 zi5	名
296	1	字	zì	zi4	zi4	名
297	1	昨天	zuótiān	zuo2 tian1	zuo2 tian1	名
298	1	坐	zuò	zuo4	zuo4	动
299	1	做	zuò	zuo4	zuo4	动
300	1	做饭	zuòfàn	zuo4 fan4	zuo4 fan4	
301	2	啊	a	a5	a5	助
302	2	爱好	àihào	ai4 hao4	ai4 hao4	动、名
303	2	白色	báisè	bai2 se4	bai2 se4	名
304	2	班	bān	ban1	ban1	名
304	5	班	bān	ban1	ban1	量
305	2	帮	bāng	bang1	bang1	动
306	2	帮忙	bāngmáng	bang1 mang2	bang1 mang2	动
307	2	包	bāo	bao1	bao1	动、名、量
308	2	本子	běnzi	ben3 zi5	ben3 zi5	名
309	2	比	bǐ	bi3	bi3	动、介
310	2	笔	bǐ	bi3	bi3	名
310	5	笔	bǐ	bi3	bi3	量
311	2	别1	bié	bie2	bie2	副
312	2	不错	búcuò	bu2 cuo4	bu4 cuo4	形
313	2	不好意思	bùhǎoyìsi	bu4 hao3 yi4 si5	bu4 hao3 yi4 si5	
314	2	长	cháng	chang2	chang2	形
315	2	车站	chēzhàn	che1 zhan4	che1 zhan4	名
316	2	出	chū	chu1	chu1	动
317	2	出国	chūguó	chu1 guo2	chu1 guo2	动
318	2	出来	chūlái	chu1 lai2	chu1 lai2	动
319	2	出门	chūmén	chu1 men2	chu1 men2	动
320	2	出去	chūqù	chu1 qu4	chu1 qu4	动
321	2	床	chuáng	chuang2	chuang2	名
322	2	词	cí	ci2	ci2	名
323	2	次	cì	ci4	ci4	量
323	7-9	次	cì	ci4	ci4	形
324	2	从	cóng	cong2	cong2	介
324	4	从	cóng	cong2	cong2	副
325	2	从小	cóngxiǎo	cong2 xiao3	cong2 xiao3	副
326	2	错	cuò	cuo4	cuo4	形
327	2	打1	dǎ	da3	da3	动
328	2	打车	dǎchē	da3 che1	da3 che1	动
329	2	打开	dǎkāi	da3 kai1	da3 kai1	动
330	2	但	dàn	dan4	dan4	连
330	7-9	但	dàn	dan4	dan4	副
331	2	但是	dànshì	dan4 shi4	dan4 shi4	连
332	2	得	de	de5	de5	助
333	2	地	de	de5	de5	助
334	2	等1	děng	deng3	deng3	动
334	4	等1	děng	deng3	deng3	介
335	2	地铁	dìtiě	di4 tie3	di4 tie3	名
336	2	点2	diǎn	dian3	dian3	动
336	4	点2	diǎn	dian3	dian3	名、量
337	2	懂	dǒng	dong3	dong3	动
338	2	动	dòng	dong4	dong4	动
339	2	饭馆	fànguǎn	fan4 guan3	fan4 guan3	名
340	2	飞	fēi	fei1	fei1	动
341	2	高	gāo	gao1	gao1	形、名
342	2	高中	gāozhōng	gao1 zhong1	gao1 zhong1	名
343	2	告诉	gàosu	gao4 su5	gao4 su5	动
344	2	个子	gèzi	ge4 zi5	ge4 zi5	名
345	2	跟	gēn	gen1	gen1	介、连
345	5	跟	gēn	gen1	gen1	名、动
346	2	公交车	gōngjiāochē	gong1 jiao1 che1	gong1 jiao1 che1	名
347	2	过	guò	guo4	guo4	动
348	2	过来	guòlái	guo4 lai2	guo4 lai2	动
349	2	过年	guònián	guo4 nian2	guo4 nian2	动
350	2	过去1	guòqù	guo4 qu4	guo4 qu4	动
351	2	过	guo	guo5	guo5	助
352	2	还是	háishi	hai2 shi5	hai2 shi5	副、连
353	2	黑色	hēisè	hei1 se4	hei1 se4	名
354	2	红茶	hóngchá	hong2 cha2	hong2 cha2	名
355	2	红色	hóngsè	hong2 se4	hong2 se4	名
356	2	后面	hòumiàn	hou4 mian4	hou4 mian4	名
357	2	花1	huā	hua1	hua1	动
358	2	花2	huā	hua1	hua1	名
358	6	花2	huā	hua1	hua1	形
359	2	画	huà	hua4	hua4	动、名
360	2	坏	huài	huai4	huai4	形
361	2	回来	huílái	hui2 lai2	hui2 lai2	动
362	2	回去	huíqù	hui2 qu4	hui2 qu4	动
363	2	机场	jīchǎng	ji1 chang3	ji1 chang3	名
364	2	机票	jīpiào	ji1 piao4	ji1 piao4	名
365	2	记得	jìde	ji4 de5	ji4 de5	动
366	2	间	jiān	jian1	jian1	量
366	4	间	jiān	jian1	jian1	名
367	2	教	jiāo	jiao1	jiao1	动
368	2	教室	jiàoshì	jiao4 shi4	jiao4 shi4	名
369	2	介绍	jièshào	jie4 shao4	jie4 shao4	动
370	2	进	jìn	jin4	jin4	动
371	2	近	jìn	jin4	jin4	形
372	2	进来	jìnlái	jin4 lai2	jin4 lai2	动
373	2	进去	jìnqù	jin4 qu4	jin4 qu4	动
374	2	经常	jīngcháng	jing1 chang2	jing1 chang2	副
375	2	酒店	jiǔdiàn	jiu3 dian4	jiu3 dian4	名
376	2	就	jiù	jiu4	jiu4	副
376	7-9	就	jiù	jiu4	jiu4	介
377	2	咖啡	kāfēi	ka1 fei1	ka1 fei1	名
378	2	开始	kāishǐ	kai1 shi3	kai1 shi3	动、名
379	2	开学	kāixué	kai1 xue2	kai1 xue2	动
380	2	考	kǎo	kao3	kao3	动
381	2	考试	kǎoshì	kao3 shi4	kao3 shi4	动、名
382	2	可能	kěnéng	ken3 eng2	ken3 eng2	形、名、动
383	2	裤子	kùzi	ku4 zi5	ku4 zi5	名
384	2	快	kuài	kuai4	kuai4	形、副
385	2	快乐	kuàilè	kuai4 le4	kuai4 le4	形
386	2	快要	kuàiyào	kuai4 yao4	kuai4 yao4	副
387	2	篮球	lánqiú	lan2 qiu2	lan2 qiu2	名
388	2	累	lèi	lei4	lei4	形、动
389	2	离	lí	li2	li2	动
390	2	里面	lǐmiàn	li3 mian4	li3 mian4	名
391	2	楼	lóu	lou2	lou2	名
392	2	路	lù	lu4	lu4	名
393	2	路上	lùshang	lu4 shang5	lu4 shang5	名
394	2	旅游	lǚyóu	lü3 you2	lü3 you2	动
395	2	绿茶	lǜchá	lü4 cha2	lü4 cha2	名
396	2	绿色	lǜsè	lü4 se4	lü4 se4	名
396	4	绿色	lǜsè	lü4 se4	lü4 se4	形
397	2	慢	màn	man4	man4	形
398	2	没意思	méiyìsi	mei2 yi4 si5	mei2 yi4 si5	
399	2	每	měi	mei3	mei3	代
399	4	每	měi	mei3	mei3	副
400	2	门	mén	men2	men2	名
401	2	门口	ménkǒu	men2 kou3	men2 kou3	名
402	2	门票	ménpiào	men2 piao4	men2 piao4	名
403	2	面1	miàn	mian4	mian4	后缀
403	5	面1	miàn	mian4	mian4	动、名、量
404	2	名	míng	ming2	ming2	名、量
405	2	拿	ná	na2	na2	动
406	2	那么	nàme	na4 me5	na4 me5	代、连
407	2	那样	nàyàng	na4 yang4	na4 yang4	代
408	2	奶茶	nǎichá	nai3 cha2	nai3 cha2	名
409	2	奶奶	nǎinai	nai3 nai5	nai3 nai5	名
410	2	男孩儿	nánháir	nan2 hair2	nan2 hai2 r5	名
411	2	鸟	niǎo	niao3	niao3	名
412	2	女孩儿	nǚháir	nü3 hair2	nü3 hai2 r5	名
413	2	旁边	pángbiān	pang2 bian1	pang2 bian1	名
414	2	跑	pǎo	pao3	pao3	动
415	2	跑步	pǎobù	pao3 bu4	pao3 bu4	动
416	2	票	piào	piao4	piao4	名
417	2	妻子	qīzi	qi1 zi5	qi1 zi5	名
418	2	起来	qǐlái	qi3 lai2	qi3 lai2	动
419	2	前面	qiánmiàn	qian2 mian4	qian2 mian4	名
420	2	晴	qíng	qing2	qing2	形
421	2	球	qiú	qiu2	qiu2	名
422	2	让	ràng	rang4	rang4	动
422	4	让	ràng	rang4	rang4	介
423	2	肉	ròu	rou4	rou4	名
424	2	商场	shāngchǎng	shang1 chang3	shang1 chang3	名
425	2	上来	shànglái	shang4 lai2	shang4 lai2	动
426	2	上面	shàngmiàn	shang4 mian4	shang4 mian4	名
427	2	上去	shàngqù	shang4 qu4	shang4 qu4	动
428	2	上网	shàngwǎng	shang4 wang3	shang4 wang3	动
429	2	身体	shēntǐ	shen1 ti3	shen1 ti3	名
430	2	生日	shēngrì	sheng1 ri4	sheng1 ri4	名
431	2	时	shí	shi2	shi2	名
431	6	时	shí	shi2	shi2	量
432	2	事情	shìqing	shi4 qing5	shi4 qing5	名
433	2	手	shǒu	shou3	shou3	名
434	2	手表	shǒubiǎo	shou3 biao3	shou3 biao3	名
435	2	书包	shūbāo	shu1 bao1	shu1 bao1	名
436	2	舒服	shūfu	shu1 fu5	shu1 fu5	形
437	2	送	sòng	song4	song4	动
438	2	虽然	suīrán	suir1 an2	sui1 r5 an2	连
439	2	所以	suǒyǐ	suo3 yi3	suo3 yi3	连
440	2	疼	téng	teng2	teng2	形
440	6	疼	téng	teng2	teng2	动
441	2	踢	tī	ti1	ti1	动
442	2	题	tí	ti2	ti2	名
443	2	条	tiáo	tiao2	tiao2	量
443	5	条	tiáo	tiao2	tiao2	名
444	2	跳舞	tiàowǔ	tiao4 wu3	tiao4 wu3	动
445	2	头	tóu	tou2	tou2	名
445	3	头	tóu	tou2	tou2	量
445	5	头	tóu	tou2	tou2	形
446	2	外国	wàiguó	wai4 guo2	wai4 guo2	名
447	2	外面	wàimiàn	wai4 mian4	wai4 mian4	名
448	2	完	wán	wan2	wan2	动
449	2	万	wàn	wan4	wan4	数
450	2	往	wǎng	wang3	wang3	动、介
451	2	网上	wǎngshang	wang3 shang5	wang3 shang5	名
452	2	忘	wàng	wang4	wang4	动
453	2	位	wèi	wei4	wei4	量
454	2	为什么	wèishénme	wei4 shen2 me5	wei4 shen2 me5	
455	2	希望	xīwàng	xi1 wang4	xi1 wang4	动
456	2	洗	xǐ	xi3	xi3	动
457	2	洗手间	xǐshǒujiān	xi3 shou3 jian1	xi3 shou3 jian1	名
458	2	下来	xiàlái	xia4 lai2	xia4 lai2	动
459	2	下面	xiàmiàn	xia4 mian4	xia4 mian4	名
460	2	下去	xiàqù	xia4 qu4	xia4 qu4	动
461	2	小孩儿	xiǎoháir	xiao3 hair2	xiao3 hai2 r5	名
462	2	小时候	xiǎoshíhou	xiao3 shi2 hou5	xiao3 shi2 hou5	名
463	2	笑	xiào	xiao4	xiao4	动
464	2	姓	xìng	xing4	xing4	名、动
465	2	姓名	xìngmíng	xing4 ming2	xing4 ming2	名
466	2	颜色	yánsè	yan2 se4	yan2 se4	名
467	2	眼睛	yǎnjing	yan3 jing5	yan3 jing5	名
468	2	药	yào	yao4	yao4	名
469	2	药店	yàodiàn	yao4 dian4	yao4 dian4	名
470	2	爷爷	yéye	ye2 ye5	ye2 ye5	名
471	2	一会儿	yíhuìr	yi2 huir4	yi1 hui4 r5	数量
471	3	一会儿	yíhuìr	yi2 huir4	yi1 hui4 r5	副
472	2	已经	yǐjīng	yi3 jing1	yi3 jing1	副
473	2	一起	yìqǐ	yi4 qi3	yi1 qi3	副
474	2	意思	yìsi	yi4 si5	yi4 si5	名
475	2	阴	yīn	yin1	yin1	形
476	2	因为	yīnwèi	yin1 wei4	yin1 wei4	介、连
477	2	游	yóu	you2	you2	动
478	2	游泳	yóuyǒng	you2 yong3	you2 yong3	动
479	2	有意思	yǒuyìsi	you3 yi4 si5	you3 yi4 si5	
480	2	有时	yǒushí	you3 shi2	you3 shi2	副
481	2	右	yòu	you4	you4	名
